min_edge,min_model_prob,bets,wins,stake,profit,roi_pct,win_rate_pct,avg_edge_pct,avg_clv_pct,avg_odds
0.090,0.560,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.090,0.580,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.090,0.600,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.090,0.620,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.090,0.640,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.090,0.660,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.100,0.560,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.100,0.580,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.100,0.600,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.100,0.620,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.100,0.640,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.100,0.660,15,15,15.00,5.28,35.20,100.00,25.38,0.00,1.35
0.040,0.560,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.040,0.580,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.040,0.600,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.040,0.620,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.040,0.640,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.040,0.660,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.050,0.560,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.050,0.580,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.050,0.600,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.050,0.620,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.050,0.640,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.050,0.660,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.060,0.560,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.060,0.580,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.060,0.600,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.060,0.620,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.060,0.640,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.060,0.660,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.070,0.560,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.070,0.580,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.070,0.600,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.070,0.620,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.070,0.640,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.070,0.660,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.080,0.560,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.080,0.580,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.080,0.600,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.080,0.620,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.080,0.640,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
0.080,0.660,16,16,16.00,5.58,34.88,100.00,24.30,0.00,1.35
