event_id,event_date,season,tournament,round,best_of,player_a,player_b,rank_a,rank_b,last5_wins_a,last5_wins_b,last5_frame_diff_a,last5_frame_diff_b,in_tournament_wins_a,in_tournament_wins_b,in_tournament_frame_diff_a,in_tournament_frame_diff_b,rest_days_a,rest_days_b,prev_decider_a,prev_decider_b,h2h_3y_wins_a,h2h_3y_wins_b,model_prob_a,price_taken_a,price_taken_b,close_odds_a,close_odds_b,winner,score_a,score_b,notes
uk_2025_r1_higgins_woollaston,2025-11-29,2025/2026,UK Championship,Round One,11,John Higgins,Ben Woollaston,7,70,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.7685,1.25,3.50,1.25,3.50,player_a,6,2,
uk_2025_r1_murphy_lyu,2025-11-29,2025/2026,UK Championship,Round One,11,Shaun Murphy,Lyu Haotian,10,45,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.7491,1.13,5.00,1.13,5.00,player_a,6,2,
uk_2025_r1_trump_maguire,2025-11-29,2025/2026,UK Championship,Round One,11,Judd Trump,Stephen Maguire,1,25,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.6792,1.22,3.70,1.22,3.70,player_a,6,4,
uk_2025_r1_robertson_leclercq,2025-11-30,2025/2026,UK Championship,Round One,11,Neil Robertson,Julien Leclercq,4,79,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.7685,1.05,7.50,1.05,7.50,player_a,6,2,
uk_2025_r1_williams_gilbert,2025-11-30,2025/2026,UK Championship,Round One,11,Mark Williams,David Gilbert,5,24,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.6442,1.30,3.10,1.30,3.10,player_a,6,4,
uk_2025_r1_wu_holt,2025-11-30,2025/2026,UK Championship,Round One,11,Wu Yize,Michael Holt,13,64,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.7685,1.15,4.50,1.15,4.50,player_a,6,4,
uk_2025_r1_ding_xu,2025-12-01,2025/2026,UK Championship,Round One,11,Ding Junhui,Xu Si,9,39,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.7186,1.29,3.20,1.29,3.20,player_a,6,4,
uk_2025_r1_gary_zhang,2025-12-01,2025/2026,UK Championship,Round One,11,Gary Wilson,Zhang Anda,0,35,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.5,1.53,2.20,1.53,2.20,player_b,5,6,
uk_2025_r1_zhao_long,2025-12-01,2025/2026,UK Championship,Round One,11,Zhao Xintong,Long Zehuang,15,80,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.7685,1.10,5.50,1.10,5.50,player_a,6,1,
uk_2025_r1_selby_lei,2025-12-02,2025/2026,UK Championship,Round One,11,Mark Selby,Lei Peifan,11,31,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.6514,1.17,4.33,1.17,4.33,player_a,6,2,
uk_2025_r2_trump_si,2025-12-03,2025/2026,UK Championship,Round Two,11,Judd Trump,Si Jiahui,1,16,1,0,2,0,0,0,0,0,4.0,0.0,1,0,0,0,0.6789,1.36,3.30,1.36,3.30,player_a,6,3,
uk_2025_r2_williams_pang,2025-12-03,2025/2026,UK Championship,Round Two,11,Mark Williams,Pang Junxu,5,30,1,0,2,0,0,0,0,0,3.0,0.0,1,0,0,0,0.7429,1.25,3.50,1.25,3.50,player_b,3,6,
uk_2025_r2_wu_robertson,2025-12-03,2025/2026,UK Championship,Round Two,11,Wu Yize,Neil Robertson,13,4,1,1,2,4,0,0,0,0,3.0,3.0,1,0,0,0,0.3586,2.15,1.60,2.15,1.60,player_b,1,6,
uk_2025_r2_ding_donaldson,2025-12-04,2025/2026,UK Championship,Round Two,11,Ding Junhui,Scott Donaldson,9,52,1,0,2,0,0,0,0,0,3.0,0.0,1,0,0,0,0.8146,1.25,3.50,1.25,3.50,player_a,6,5,
uk_2025_r2_higgins_murphy,2025-12-04,2025/2026,UK Championship,Round Two,11,John Higgins,Shaun Murphy,7,10,1,1,4,4,0,0,0,0,5.0,5.0,0,0,0,0,0.5234,1.91,2.00,1.91,2.00,player_b,5,6,
uk_2025_r2_slessor_hawkins,2025-12-04,2025/2026,UK Championship,Round Two,11,Elliot Slessor,Barry Hawkins,21,14,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.4455,2.50,1.44,2.50,1.44,player_b,0,6,
uk_2025_r2_zhang_zhao,2025-12-04,2025/2026,UK Championship,Round Two,11,Zhang Anda,Zhao Xintong,35,15,1,1,1,5,0,0,0,0,3.0,3.0,1,0,0,0,0.268,3.70,1.22,3.70,1.22,player_b,2,6,
uk_2025_qf_hawkins_selby,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Barry Hawkins,Mark Selby,14,11,1,1,6,4,0,0,0,0,1.0,3.0,0,0,0,0,0.4567,1.53,2.00,1.53,2.00,player_b,2,6,
uk_2025_qf_murphy_zhang,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Shaun Murphy,Zhang Anda,10,35,2,1,5,-3,0,0,0,0,1.0,1.0,1,0,0,0,0.7429,1.44,2.75,1.44,2.75,player_a,6,3,
uk_2025_qf_pang_robertson,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Pang Junxu,Neil Robertson,30,4,1,2,3,9,0,0,0,0,2.0,2.0,0,0,0,0,0.2257,3.70,1.22,3.70,1.22,player_b,4,6,
uk_2025_qf_trump_ding,2025-12-05,2025/2026,UK Championship,Quarter Final,11,Judd Trump,Ding Junhui,1,9,2,2,5,3,0,0,0,0,2.0,1.0,0,1,0,0,0.6525,1.36,3.20,1.36,3.20,player_a,6,2,
uk_2025_final_trump_selby,2025-12-07,2025/2026,UK Championship,Final,19,Judd Trump,Mark Selby,1,11,3,2,9,8,0,0,0,0,2.0,2.0,0,0,0,0,0.6301,1.25,4.00,1.25,4.00,player_b,8,10,
